id_nasabah,nama_nasabah,income,dsr,ltv,dpd,durasi_pinjaman,status_pekerjaan,usia,kode_pos,default
CIF-010031,"Budi Utami",9088538,0.44,0.03,13,40,PNS,49,Surabaya,0
CIF-010032,"Siti Santoso",9824367,0.24,0.36,10,14,PNS,61,Jakarta,1
CIF-010033,"Agus Lestari",12286490,0.44,0.38,3,21,Buruh,50,Jakarta,0
CIF-010034,"Dewi Firmansyah",10242902,0.35,0.26,10,40,PNS,50,Lainnya,0
CIF-010035,"Eko Wijaya",5367592,0.54,0.31,7,43,Wiraswasta,64,Jakarta,0
CIF-010036,"Rini Siregar",14837120,0.19,0.31,9,39,Buruh,50,Bandung,0
CIF-010037,"Bambang Gunawan",10326807,0.27,0.38,6,46,Wiraswasta,36,Jakarta,0
CIF-010038,"Sri Kusuma",6686973,0.03,0.28,7,41,Wiraswasta,57,Jakarta,0
CIF-010039,"Joko Wibowo",12410965,0.51,0.56,10,20,PNS,58,Jakarta,0
CIF-010040,"Nur Hartono",3317648,0.58,0.32,10,27,Wiraswasta,36,Surabaya,0
CIF-010041,"Hendra Pratama",7665804,0.35,0.3,8,14,PNS,36,Surabaya,0
CIF-010042,"Tri Nugroho",3385392,0.59,0.43,8,17,Lainnya,23,Surabaya,0
CIF-010043,"Ahmad Permana",500000,0.52,0.13,6,14,Wiraswasta,42,Bandung,1
CIF-010044,"Ratna Hidayat",7622365,0.14,0.09,11,52,Lainnya,62,Jakarta,1
CIF-010045,"Wawan Purnomo",20485377,0.4,0.38,6,37,Wiraswasta,25,Jakarta,0
CIF-010046,"Yuni Susanto",6961334,0.13,0.04,9,15,Wiraswasta,45,Surabaya,0
CIF-010047,"Rudi Saputra",11750120,0.52,0.41,8,41,Wiraswasta,46,Bandung,0
CIF-010048,"Endang Suryono",1633664,0.43,0.07,11,58,Lainnya,40,Lainnya,0
CIF-010049,"Dedi Nasution",500000,0.51,0.17,10,24,Wiraswasta,33,Jakarta,1
CIF-010050,"Lestari Setiawan",9588598,0.16,0.04,11,43,Wiraswasta,37,Bandung,0
CIF-010051,"Surya Utami",1569714,0.25,0.19,13,14,Wiraswasta,22,Jakarta,0
CIF-010052,"Mega Santoso",8133673,0.11,0.24,9,46,Buruh,60,Bandung,0
CIF-010053,"Bayu Lestari",4585173,0.17,0.53,13,52,Wiraswasta,46,Medan,0
CIF-010054,"Dian Firmansyah",1278079,0.04,0.18,10,23,PNS,30,Jakarta,0
CIF-010055,"Fajar Wijaya",7067578,0.23,0.45,9,44,Buruh,48,Jakarta,0
CIF-010056,"Maya Siregar",13395641,0.07,0.32,4,50,Wiraswasta,32,Surabaya,0
CIF-010057,"Reza Gunawan",10211329,0.58,0.12,4,25,PNS,56,Bandung,0
CIF-010058,"Fitri Kusuma",2407014,0.43,0.44,10,25,Lainnya,63,Surabaya,0
CIF-010059,"Aris Wibowo",9635143,0.05,0.19,14,21,Buruh,31,Surabaya,1
CIF-010060,"Wulan Hartono",6564232,0.02,0.1,9,39,Buruh,52,Medan,0
CIF-010061,"Budi Pratama",6761050,0.15,0.17,10,21,Wiraswasta,60,Bandung,0
CIF-010062,"Siti Nugroho",17726699,0.37,0.24,5,21,PNS,62,Medan,0
CIF-010063,"Agus Permana",4851916,0.3,0.15,10,18,Wiraswasta,63,Jakarta,0
CIF-010064,"Dewi Hidayat",500000,0.24,0.21,6,25,PNS,40,Lainnya,0
CIF-010065,"Eko Purnomo",3755248,0.38,0.14,11,29,Wiraswasta,27,Bandung,0
CIF-010066,"Rini Susanto",2468830,0.2,0.16,6,39,PNS,29,Medan,0
CIF-010067,"Bambang Saputra",3473282,0.46,0.35,12,17,Lainnya,52,Bandung,0
CIF-010068,"Sri Suryono",1912950,0.52,0.2,8,14,Wiraswasta,34,Medan,0
CIF-010069,"Joko Nasution",11736710,0.55,0.21,8,35,PNS,55,Bandung,0
CIF-010070,"Nur Setiawan",6339628,0.44,0.18,2,49,PNS,23,Jakarta,0
CIF-010071,"Hendra Utami",2376937,0.07,0.44,7,19,PNS,23,Jakarta,0
CIF-010072,"Tri Santoso",4774543,0.13,0.25,6,16,Lainnya,47,Lainnya,0
CIF-010073,"Ahmad Lestari",2429166,0.07,0.47,9,43,Lainnya,38,Lainnya,0
CIF-010074,"Ratna Firmansyah",6211068,0.24,0.25,7,50,Wiraswasta,23,Surabaya,0
CIF-010075,"Wawan Wijaya",4064434,0.39,0.44,10,54,Lainnya,46,Lainnya,0
CIF-010076,"Yuni Siregar",6056834,0.33,0.08,9,25,PNS,26,Lainnya,1
CIF-010077,"Rudi Gunawan",12468598,0.11,0.55,9,17,Lainnya,55,Surabaya,0
CIF-010078,"Endang Kusuma",4992721,0.34,0.45,7,13,Buruh,63,Surabaya,0
CIF-010079,"Dedi Wibowo",4490704,0.13,0.17,5,23,Lainnya,33,Jakarta,0
CIF-010080,"Lestari Hartono",13718921,0.32,0.42,7,16,Lainnya,51,Jakarta,0
CIF-010081,"Surya Pratama",4191267,0.08,0.5,9,13,PNS,42,Surabaya,1
CIF-010082,"Mega Nugroho",5657280,0.46,0.36,5,59,Buruh,44,Jakarta,0
CIF-010083,"Bayu Permana",8224783,0.05,0.56,8,54,PNS,34,Surabaya,0
CIF-010084,"Dian Hidayat",12163358,0.11,0.5,11,47,Wiraswasta,44,Surabaya,1
CIF-010085,"Fajar Purnomo",4860669,0.38,0.12,4,50,PNS,49,Jakarta,0
CIF-010086,"Maya Susanto",9182631,0.47,0.16,10,42,Lainnya,29,Jakarta,0
CIF-010087,"Reza Saputra",7820513,0.04,0.33,11,32,PNS,34,Medan,0
CIF-010088,"Fitri Suryono",6907962,0.4,0.11,8,42,Buruh,33,Bandung,0
CIF-010089,"Aris Nasution",11432882,0.17,0.32,4,20,Buruh,41,Jakarta,0
CIF-010090,"Wulan Setiawan",5155777,0.43,0.1,7,27,PNS,42,Bandung,0
CIF-010091,"Budi Utami",12988613,0.36,0.47,9,38,Wiraswasta,33,Bandung,0
CIF-010092,"Siti Santoso",7170604,0.16,0.48,9,27,Buruh,56,Bandung,0
CIF-010093,"Agus Lestari",14660145,0.34,0.53,10,46,PNS,54,Surabaya,0
CIF-010094,"Dewi Firmansyah",11493502,0.24,0.21,8,58,PNS,24,Jakarta,1
CIF-010095,"Eko Wijaya",8219857,0.16,0.05,10,15,Wiraswasta,45,Jakarta,0
CIF-010096,"Rini Siregar",1249531,0.11,0.44,9,27,PNS,32,Jakarta,0
CIF-010097,"Bambang Gunawan",4408378,0.41,0.29,12,44,Wiraswasta,41,Jakarta,1
CIF-010098,"Sri Kusuma",500000,0.08,0.58,5,18,PNS,53,Surabaya,0
CIF-010099,"Joko Wibowo",3397914,0.3,0.1,5,39,Buruh,31,Jakarta,0
CIF-010100,"Nur Hartono",13659614,0.22,0.12,9,32,Lainnya,23,Surabaya,0
CIF-010101,"Hendra Pratama",11357286,0.53,0.54,7,18,Buruh,41,Jakarta,0
CIF-010102,"Tri Nugroho",9317527,0.49,0.52,6,40,Wiraswasta,22,Surabaya,0
CIF-010103,"Ahmad Permana",15810750,0.09,0.15,7,22,Wiraswasta,32,Bandung,1
CIF-010104,"Ratna Hidayat",1334806,0.44,0.57,4,16,Wiraswasta,22,Surabaya,0
CIF-010105,"Wawan Purnomo",12775412,0.58,0.45,12,37,Buruh,22,Jakarta,1
CIF-010106,"Yuni Susanto",13802971,0.31,0.53,5,50,Wiraswasta,22,Surabaya,0
CIF-010107,"Rudi Saputra",12378956,0.48,0.32,6,56,PNS,28,Surabaya,0
CIF-010108,"Endang Suryono",12546941,0.55,0.36,7,44,Lainnya,22,Jakarta,0
CIF-010109,"Dedi Nasution",15591787,0.49,0.24,6,41,PNS,60,Bandung,0
CIF-010110,"Lestari Setiawan",3464004,0.32,0.52,13,15,PNS,50,Bandung,0
CIF-010111,"Surya Utami",10915474,0.27,0.13,9,22,PNS,45,Jakarta,1
CIF-010112,"Mega Santoso",5574684,0.22,0.29,4,13,PNS,31,Jakarta,0
CIF-010113,"Bayu Lestari",14934688,0.23,0.52,5,53,Buruh,31,Jakarta,0
CIF-010114,"Dian Firmansyah",16426986,0.04,0.18,8,45,Buruh,47,Lainnya,0
CIF-010115,"Fajar Wijaya",10904928,0.34,0.05,6,26,PNS,35,Medan,0
CIF-010116,"Maya Siregar",8076386,0.53,0.29,8,58,Buruh,22,Lainnya,0
CIF-010117,"Reza Gunawan",9491397,0.27,0.34,10,50,Buruh,34,Medan,0
CIF-010118,"Fitri Kusuma",4558586,0.42,0.55,11,30,Buruh,55,Jakarta,0
CIF-010119,"Aris Wibowo",7248393,0.08,0.08,12,38,Buruh,39,Jakarta,0
CIF-010120,"Wulan Hartono",1182439,0.16,0.42,5,50,Buruh,50,Surabaya,0
CIF-010121,"Budi Pratama",4019554,0.11,0.5,5,16,Wiraswasta,28,Jakarta,0
CIF-010122,"Siti Nugroho",10153632,0.56,0.53,5,40,PNS,47,Surabaya,0
CIF-010123,"Agus Permana",5658273,0.41,0.2,9,40,PNS,63,Surabaya,0
CIF-010124,"Dewi Hidayat",4181875,0.51,0.3,8,48,Buruh,49,Lainnya,1
CIF-010125,"Eko Purnomo",3035012,0.38,0.12,6,53,Wiraswasta,31,Jakarta,0
CIF-010126,"Rini Susanto",6224586,0.26,0.26,6,23,PNS,29,Jakarta,0
CIF-010127,"Bambang Saputra",1441740,0.18,0.19,7,32,Buruh,47,Medan,1
CIF-010128,"Sri Suryono",10351497,0.42,0.43,9,26,Buruh,56,Jakarta,0
CIF-010129,"Joko Nasution",6541009,0.28,0.31,10,23,Buruh,37,Surabaya,1
CIF-010130,"Nur Setiawan",1371143,0.05,0.05,7,36,PNS,61,Bandung,0
CIF-010131,"Hendra Utami",6026501,0.26,0.49,6,22,Lainnya,27,Jakarta,0
CIF-010132,"Tri Santoso",2372021,0.15,0.42,11,20,PNS,41,Medan,0
CIF-010133,"Ahmad Lestari",7853280,0.49,0.36,8,26,PNS,51,Medan,0
CIF-010134,"Ratna Firmansyah",7004200,0.04,0.54,8,54,Buruh,34,Surabaya,0
CIF-010135,"Wawan Wijaya",9079484,0.47,0.16,7,21,Wiraswasta,34,Surabaya,0
CIF-010136,"Yuni Siregar",2972696,0.36,0.51,8,13,PNS,51,Jakarta,0
CIF-010137,"Rudi Gunawan",6049856,0.3,0.52,6,37,Buruh,32,Surabaya,0
CIF-010138,"Endang Kusuma",500000,0.58,0.06,8,16,Wiraswasta,30,Medan,0
CIF-010139,"Dedi Wibowo",500000,0.32,0.16,6,21,Buruh,28,Medan,0
CIF-010140,"Lestari Hartono",10358359,0.05,0.39,7,35,PNS,50,Jakarta,0
CIF-010141,"Surya Pratama",2705503,0.57,0.33,7,49,Buruh,32,Jakarta,0
CIF-010142,"Mega Nugroho",15400542,0.55,0.16,6,16,Lainnya,27,Jakarta,0
CIF-010143,"Bayu Permana",10287247,0.32,0.09,8,27,Buruh,38,Jakarta,0
CIF-010144,"Dian Hidayat",14875687,0.06,0.36,2,50,PNS,22,Lainnya,0
CIF-010145,"Fajar Purnomo",5197114,0.46,0.13,8,36,Buruh,44,Surabaya,0
CIF-010146,"Maya Susanto",13007449,0.37,0.59,4,22,PNS,49,Jakarta,0
CIF-010147,"Reza Saputra",6462917,0.33,0.44,11,46,Lainnya,41,Bandung,0
CIF-010148,"Fitri Suryono",7018396,0.2,0.41,10,29,PNS,23,Surabaya,0
CIF-010149,"Aris Nasution",6110266,0.14,0.45,13,35,Wiraswasta,57,Jakarta,1
CIF-010150,"Wulan Setiawan",3591802,0.36,0.21,7,47,PNS,32,Bandung,0
CIF-010151,"Budi Utami",9311988,0.02,0.51,6,32,Buruh,49,Lainnya,0
CIF-010152,"Siti Santoso",9782996,0.36,0.55,5,57,Buruh,23,Surabaya,1
CIF-010153,"Agus Lestari",2781000,0.05,0.32,15,48,Buruh,46,Surabaya,0
CIF-010154,"Dewi Firmansyah",3197989,0.16,0.48,9,17,PNS,63,Bandung,0
CIF-010155,"Eko Wijaya",11309442,0.46,0.22,14,26,Wiraswasta,57,Medan,1
CIF-010156,"Rini Siregar",3213257,0.41,0.28,10,21,PNS,56,Jakarta,1
CIF-010157,"Bambang Gunawan",8959576,0.28,0.25,5,18,Wiraswasta,61,Lainnya,0
CIF-010158,"Sri Kusuma",8502224,0.49,0.29,9,55,Buruh,25,Bandung,0
CIF-010159,"Joko Wibowo",7007102,0.58,0.3,9,41,Wiraswasta,47,Jakarta,0
CIF-010160,"Nur Hartono",2694300,0.32,0.56,9,27,Wiraswasta,37,Jakarta,0
CIF-010161,"Hendra Pratama",8483864,0.45,0.3,13,31,PNS,39,Bandung,0
CIF-010162,"Tri Nugroho",3607316,0.25,0.18,5,55,PNS,63,Lainnya,0
CIF-010163,"Ahmad Permana",6858062,0.2,0.25,5,35,PNS,50,Lainnya,0
CIF-010164,"Ratna Hidayat",3911710,0.19,0.56,3,56,Buruh,41,Lainnya,0
CIF-010165,"Wawan Purnomo",9436181,0.05,0.39,10,50,PNS,61,Jakarta,0
CIF-010166,"Yuni Susanto",8229714,0.18,0.46,6,14,PNS,26,Jakarta,0
CIF-010167,"Rudi Saputra",5362134,0.25,0.5,7,46,PNS,47,Jakarta,1
CIF-010168,"Endang Suryono",8660839,0.15,0.47,8,48,PNS,33,Surabaya,0
CIF-010169,"Dedi Nasution",4353917,0.37,0.36,8,13,Buruh,56,Jakarta,1
CIF-010170,"Lestari Setiawan",10813992,0.06,0.55,6,30,Wiraswasta,59,Surabaya,0
CIF-010171,"Surya Utami",17648727,0.27,0.03,11,52,Wiraswasta,53,Jakarta,0
CIF-010172,"Mega Santoso",11247251,0.35,0.15,10,45,Buruh,25,Bandung,0
CIF-010173,"Bayu Lestari",9604504,0.43,0.55,7,56,PNS,47,Surabaya,0
CIF-010174,"Dian Firmansyah",4307147,0.57,0.29,8,29,Buruh,28,Surabaya,0
CIF-010175,"Fajar Wijaya",4271046,0.18,0.09,9,57,Lainnya,47,Bandung,0
CIF-010176,"Maya Siregar",4026201,0.29,0.47,8,13,Wiraswasta,47,Jakarta,0
CIF-010177,"Reza Gunawan",1471394,0.04,0.29,5,55,Wiraswasta,62,Lainnya,0
CIF-010178,"Fitri Kusuma",9941154,0.37,0.15,9,31,PNS,57,Jakarta,0
CIF-010179,"Aris Wibowo",9570571,0.52,0.52,9,50,PNS,44,Medan,0
CIF-010180,"Wulan Hartono",9470022,0.21,0.21,7,39,Buruh,39,Lainnya,0
CIF-010181,"Budi Pratama",11754899,0.41,0.4,7,30,PNS,37,Surabaya,0
CIF-010182,"Siti Nugroho",500000,0.53,0.49,10,38,Buruh,23,Bandung,0
CIF-010183,"Agus Permana",500000,0.11,0.41,7,55,Wiraswasta,55,Surabaya,0
CIF-010184,"Dewi Hidayat",9377112,0.34,0.1,7,17,PNS,52,Jakarta,0
CIF-010185,"Eko Purnomo",7147239,0.49,0.14,6,55,PNS,35,Bandung,0
CIF-010186,"Rini Susanto",1592310,0.55,0.3,5,39,PNS,30,Jakarta,0
CIF-010187,"Bambang Saputra",8814558,0.52,0.28,13,14,Buruh,52,Surabaya,0
CIF-010188,"Sri Suryono",9890199,0.09,0.38,8,47,Buruh,53,Jakarta,0
CIF-010189,"Joko Nasution",11386482,0.07,0.17,11,38,Lainnya,53,Jakarta,0
CIF-010190,"Nur Setiawan",10552648,0.47,0.24,5,42,Wiraswasta,47,Surabaya,0
CIF-010191,"Hendra Utami",6096215,0.22,0.53,7,23,PNS,62,Jakarta,0
CIF-010192,"Tri Santoso",500000,0.46,0.07,4,45,PNS,49,Bandung,0
CIF-010193,"Ahmad Lestari",11107527,0.17,0.18,6,45,Buruh,57,Jakarta,0
CIF-010194,"Ratna Firmansyah",6106648,0.57,0.15,6,17,Buruh,37,Bandung,0
CIF-010195,"Wawan Wijaya",13245628,0.34,0.2,11,48,Buruh,45,Lainnya,0
CIF-010196,"Yuni Siregar",9920291,0.48,0.48,11,59,PNS,61,Bandung,1
CIF-010197,"Rudi Gunawan",11912549,0.12,0.48,7,18,Buruh,51,Jakarta,0
CIF-010198,"Endang Kusuma",6900865,0.57,0.5,8,49,PNS,38,Bandung,0
CIF-010199,"Dedi Wibowo",8675683,0.23,0.48,11,55,Buruh,31,Jakarta,1
CIF-010200,"Lestari Hartono",2384834,0.29,0.49,9,47,Lainnya,51,Surabaya,0
CIF-010201,"Surya Pratama",500000,0.1,0.44,11,24,Wiraswasta,38,Lainnya,0
CIF-010202,"Mega Nugroho",1100569,0.14,0.31,9,39,Wiraswasta,29,Medan,1
CIF-010203,"Bayu Permana",12510311,0.51,0.12,8,39,Wiraswasta,27,Lainnya,0
CIF-010204,"Dian Hidayat",7819527,0.43,0.58,7,28,Wiraswasta,32,Lainnya,0
CIF-010205,"Fajar Purnomo",14339832,0.22,0.3,13,45,Buruh,41,Lainnya,0
CIF-010206,"Maya Susanto",5073958,0.12,0.4,8,17,Lainnya,58,Jakarta,0
CIF-010207,"Reza Saputra",11456748,0.11,0.4,8,26,Wiraswasta,38,Bandung,0
CIF-010208,"Fitri Suryono",3430174,0.24,0.47,6,55,Wiraswasta,57,Jakarta,0
CIF-010209,"Aris Nasution",5685532,0.19,0.26,4,26,Wiraswasta,25,Bandung,0
CIF-010210,"Wulan Setiawan",5224822,0.3,0.23,5,40,Buruh,46,Lainnya,0
CIF-010211,"Budi Utami",878652,0.1,0.16,4,15,Wiraswasta,33,Medan,0
CIF-010212,"Siti Santoso",13351188,0.17,0.39,9,23,PNS,50,Bandung,0
CIF-010213,"Agus Lestari",3482689,0.22,0.54,7,46,Buruh,61,Medan,0
CIF-010214,"Dewi Firmansyah",2017141,0.41,0.17,3,13,Buruh,27,Medan,0
CIF-010215,"Eko Wijaya",13970509,0.12,0.24,12,40,Buruh,48,Surabaya,0
CIF-010216,"Rini Siregar",18463215,0.26,0.16,14,22,Lainnya,45,Jakarta,0
CIF-010217,"Bambang Gunawan",2468023,0.38,0.17,3,33,PNS,58,Medan,0
CIF-010218,"Sri Kusuma",3100347,0.18,0.15,6,24,PNS,26,Jakarta,0
CIF-010219,"Joko Wibowo",11265994,0.09,0.44,4,51,Wiraswasta,41,Surabaya,0
CIF-010220,"Nur Hartono",11457944,0.44,0.45,10,59,Buruh,61,Bandung,0
CIF-010221,"Hendra Pratama",8380206,0.16,0.57,12,55,PNS,54,Jakarta,1
CIF-010222,"Tri Nugroho",10289290,0.42,0.23,11,22,PNS,61,Medan,0
CIF-010223,"Ahmad Permana",10427121,0.45,0.45,7,33,Buruh,36,Jakarta,0
CIF-010224,"Ratna Hidayat",6567394,0.54,0.14,3,50,PNS,60,Surabaya,0
CIF-010225,"Wawan Purnomo",6450371,0.32,0.08,7,31,PNS,44,Bandung,1
CIF-010226,"Yuni Susanto",9124304,0.42,0.32,7,13,Buruh,54,Lainnya,0
CIF-010227,"Rudi Saputra",500000,0.08,0.17,5,57,PNS,22,Jakarta,0
CIF-010228,"Endang Suryono",9770155,0.33,0.09,14,16,Buruh,22,Jakarta,1
CIF-010229,"Dedi Nasution",4124054,0.48,0.13,12,47,PNS,37,Lainnya,0
CIF-010230,"Lestari Setiawan",8170371,0.47,0.07,5,51,PNS,36,Bandung,0
CIF-010231,"Surya Utami",1170578,0.4,0.48,4,49,Wiraswasta,40,Surabaya,0
CIF-010232,"Mega Santoso",3403686,0.24,0.16,3,58,PNS,30,Jakarta,0
CIF-010233,"Bayu Lestari",500000,0.14,0.49,13,37,Buruh,52,Bandung,0
CIF-010234,"Dian Firmansyah",6573699,0.31,0.24,10,29,Wiraswasta,33,Jakarta,0
CIF-010235,"Fajar Wijaya",13700288,0.3,0.27,9,47,Lainnya,23,Lainnya,0
CIF-010236,"Maya Siregar",500000,0.29,0.16,11,24,Wiraswasta,23,Jakarta,0
CIF-010237,"Reza Gunawan",4484388,0.57,0.58,10,38,Wiraswasta,43,Jakarta,0
CIF-010238,"Fitri Kusuma",3490587,0.23,0.43,10,28,Wiraswasta,48,Jakarta,0
CIF-010239,"Aris Wibowo",9230035,0.51,0.14,8,31,Buruh,32,Surabaya,0
CIF-010240,"Wulan Hartono",4410626,0.08,0.45,7,45,Wiraswasta,59,Jakarta,1
CIF-010241,"Budi Pratama",9589653,0.51,0.43,7,34,Buruh,41,Bandung,1
CIF-010242,"Siti Nugroho",10970559,0.17,0.52,4,53,Wiraswasta,40,Medan,0
CIF-010243,"Agus Permana",11647904,0.03,0.41,4,15,Buruh,22,Surabaya,0
CIF-010244,"Dewi Hidayat",3054880,0.5,0.22,8,49,PNS,55,Lainnya,0
CIF-010245,"Eko Purnomo",1999491,0.05,0.06,9,34,PNS,60,Lainnya,1
CIF-010246,"Rini Susanto",8129919,0.43,0.55,8,15,Lainnya,61,Medan,0
CIF-010247,"Bambang Saputra",10968634,0.25,0.42,9,18,Wiraswasta,34,Bandung,0
CIF-010248,"Sri Suryono",3074784,0.42,0.56,11,24,Buruh,31,Surabaya,1
CIF-010249,"Joko Nasution",11328801,0.01,0.21,8,12,Buruh,59,Jakarta,0
CIF-010250,"Nur Setiawan",12939454,0.31,0.08,11,33,PNS,58,Surabaya,0
CIF-010251,"Hendra Utami",500000,0.44,0.49,6,29,Buruh,23,Bandung,1
CIF-010252,"Tri Santoso",1039436,0.47,0.32,8,33,Buruh,56,Surabaya,0
CIF-010253,"Ahmad Lestari",5069477,0.41,0.03,9,42,Lainnya,49,Jakarta,0
CIF-010254,"Ratna Firmansyah",13381968,0.25,0.05,3,40,PNS,27,Jakarta,0
CIF-010255,"Wawan Wijaya",17363834,0.41,0.17,10,14,Buruh,48,Jakarta,0
CIF-010256,"Yuni Siregar",4572245,0.41,0.31,7,44,Wiraswasta,30,Medan,0
CIF-010257,"Rudi Gunawan",10297483,0.06,0.39,5,49,PNS,24,Jakarta,0
CIF-010258,"Endang Kusuma",5547089,0.06,0.14,16,40,PNS,29,Jakarta,1
CIF-010259,"Dedi Wibowo",500000,0.16,0.05,7,29,Buruh,44,Jakarta,0
CIF-010260,"Lestari Hartono",15196532,0.02,0.55,9,57,Wiraswasta,24,Lainnya,1
CIF-010261,"Surya Pratama",12674230,0.4,0.05,8,51,Buruh,29,Surabaya,1
CIF-010262,"Mega Nugroho",8465246,0.23,0.25,9,14,Wiraswasta,62,Bandung,0
CIF-010263,"Bayu Permana",4954229,0.22,0.53,8,29,Wiraswasta,32,Jakarta,0
CIF-010264,"Dian Hidayat",12313639,0.51,0.57,13,30,Buruh,39,Lainnya,0
CIF-010265,"Fajar Purnomo",12182935,0.32,0.21,12,59,Wiraswasta,23,Jakarta,1
CIF-010266,"Maya Susanto",3282114,0.11,0.21,9,48,Buruh,64,Bandung,0
CIF-010267,"Reza Saputra",10753631,0.44,0.42,8,53,Lainnya,30,Surabaya,0
CIF-010268,"Fitri Suryono",500000,0.51,0.05,13,25,Buruh,22,Surabaya,0
CIF-010269,"Aris Nasution",5399252,0.33,0.48,7,16,PNS,42,Surabaya,1
CIF-010270,"Wulan Setiawan",8413220,0.13,0.31,7,52,Buruh,48,Jakarta,0
CIF-010271,"Budi Utami",4217651,0.34,0.55,9,33,Buruh,29,Jakarta,0
CIF-010272,"Siti Santoso",12171602,0.42,0.25,7,23,PNS,54,Surabaya,0
CIF-010273,"Agus Lestari",6568471,0.41,0.13,9,15,PNS,27,Jakarta,1
CIF-010274,"Dewi Firmansyah",9990328,0.08,0.47,8,21,Buruh,46,Bandung,0
CIF-010275,"Eko Wijaya",14260321,0.08,0.44,7,12,Buruh,54,Jakarta,0
CIF-010276,"Rini Siregar",8407768,0.15,0.05,11,59,PNS,33,Bandung,1
CIF-010277,"Bambang Gunawan",6348750,0.27,0.32,9,17,Buruh,34,Bandung,1
CIF-010278,"Sri Kusuma",8693708,0.11,0.33,6,29,Wiraswasta,38,Jakarta,0
CIF-010279,"Joko Wibowo",11082775,0.42,0.43,8,39,PNS,42,Medan,0
CIF-010280,"Nur Hartono",3196914,0.37,0.42,6,38,Wiraswasta,24,Surabaya,0
CIF-010281,"Hendra Pratama",500000,0.55,0.23,8,37,PNS,54,Jakarta,0
CIF-010282,"Tri Nugroho",15669402,0.2,0.54,8,58,Buruh,52,Medan,0
CIF-010283,"Ahmad Permana",4033423,0.4,0.46,8,59,Wiraswasta,33,Surabaya,0
CIF-010284,"Ratna Hidayat",5426357,0.07,0.38,8,54,PNS,64,Jakarta,0
CIF-010285,"Wawan Purnomo",500000,0.18,0.46,8,39,Wiraswasta,49,Medan,0
CIF-010286,"Yuni Susanto",12527940,0.35,0.1,12,52,Buruh,38,Surabaya,0
CIF-010287,"Rudi Saputra",7187383,0.01,0.25,3,55,Buruh,58,Surabaya,0
CIF-010288,"Endang Suryono",4986560,0.44,0.29,5,14,Buruh,51,Lainnya,0
CIF-010289,"Dedi Nasution",16365669,0.36,0.59,10,43,Buruh,49,Jakarta,0
